image,caption
2644916196.jpg, A little boy drinks milk and gets milk all over his face and table .
2644916196.jpg, A child with a yellow cup and milk all over his face .
2644916196.jpg, a little boy spilled his milk from the green cup .
2644916196.jpg, Toddler with milk around his mouth .
2645723249.jpg," A young woman seated at a table on what appears to be a backyard deck holds a toddler , giving him a toy or bottle of some sort , while smiling into the camera ."
2645723249.jpg, An adult female and baby outside with a glass on a metal table .
2645723249.jpg, A woman holds an infant baby on a back porch .
2645723249.jpg, A brunette woman holds a child outside .
2645723249.jpg, A mother and her sun sitting outside .
2646046871.jpg, A child in Hawaiian clothing jumps and poses in a low cut yard nearby a fence and building .
2646046871.jpg, A boy in an open Hawaiian shirt is making the Longhorns symbol with his hand .
2646046871.jpg, The boy with his shirt undone is stretching his arm in the air .
2646046871.jpg, A child jumping in the air with his or her shirt flying open .
2646046871.jpg, A boy wearing a flowered shirt raises his arm and jumps .
2647132885.jpg, A man in a red hat is sitting on the floor making a craft .
2647132885.jpg, A worker is constructing an artistic project .
2647132885.jpg, A man sits on a floor and makes a blue kite .
2647132885.jpg, A man sits and works on a crafts project .
2647132885.jpg, A man prepares a kite for flight .
2647862489.jpg, A man in a blue shirt carrying a backpack and a woman dressed in black holding some type of box are deep in conversation .
2647862489.jpg, A man with a black backpack is having a conversation with a woman holding a orange and white box .
2647862489.jpg, A man wearing a purple shirt and a backpack talks to a woman carrying a box .
2647862489.jpg, A man with a backpack engages a woman on the street in conversation .
2647862489.jpg, A man with a backpack is talking to a woman in a black shirt .
2649056692.jpg, A white male toddler wearing a blue top sitting in a cream colored chair with a large stuffed SpongeBob .
2649056692.jpg, A baby boy is sitting on a beige chair next to a stuffed SpongeBob SquarePants .
2649056692.jpg, A baby is sitting in a chair with a stuffed SpongeBob SquarePants toy .
2649056692.jpg, Baby sitting in chair with stuffed SpongeBob doll .
2649056692.jpg, a child sitting with a stuffed toy on a couch
2650485780.jpg, Six children playing musical instruments and singing in what appears to be a church .
2650485780.jpg, A group of children in a church basement play maracas and tambourines .
2650485780.jpg, a group of young children performing song and playing instruments .
2650485780.jpg, Six children in a row with small musical instruments .
2650485780.jpg, A group of children play tambourines .
2651080346.jpg, A sculptor of a topless woman reaching upwards is attached to a flat wall of a building with a row of barred doors at the ground level .
2651080346.jpg, A black and white angel figure is painted onto the brown wall of a building with many black doors .
2651080346.jpg, A statue of a gesturing woman is attached to gray stone wall with a row of windows at the bottom .
2651080346.jpg, A statue of an angel mounted to the side of a building .
2651080346.jpg, There is a statue on the side of a building .
2652522323.jpg, A young woman and her daughter play with a blue and white beach ball in the grass .
2652522323.jpg, Girl with tan dress and a hat with woman in a gray top with blue ball on ground .
2652522323.jpg, A young asian girl with a woman plays with a blue ball in a part setting .
2652522323.jpg, A little girl with a hat playing ball with her mom .
2652522323.jpg, A child and her mother are playing ball in a park .
265265586.jpg, A brunette artist wearing a respirator is carving a sad looking knight into a brick structure that is only partially visible but appears to perhaps be part of a modern castle of some kind .
265265586.jpg," A person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round , brick pillar ."
265265586.jpg," A person wearing a heavy coat , respirator and goggles etches the figure of a medieval warrior into a round brick structure ."
265265586.jpg, a man in a ventilation mask is carving a knight onto a brick wall .
265265586.jpg, A sculptor is carving a picture of a knight into a brick wall .
2653192579.jpg, A woman sits on a rug next to a shirtless boy who is looking in the direction of a checkers board that includes several pieces .
2653192579.jpg, A woman wearing a spaghetti-strapped shirt and a shirtless boy wearing red Shorts play with an over-sized checkers board .
2653192579.jpg, A woman and a little boy are sitting on the floor playing a game of checkers .
2653192579.jpg, A mom and her son are sitting on the floor playing checkers .
2653192579.jpg, A little boy is losing a game of strip checkers .
2653493856.jpg," The older male wearing a green shirt and shorts with black hair is teaching the younger male , wearing a graphic tee with blond-hair how to play a game , called bump off ."
2653493856.jpg, A white man and little boy looking at a table .
2653493856.jpg, A man looks on while a child plays a game .
2653493856.jpg, A father playing a game with his son .
2653493856.jpg, Two people playing a game .
2655183854.jpg, The woman in the black shirt is pointing in front of her with a cement wall in front of her .
2655183854.jpg, A woman points to the left as she and others look that way .
2655183854.jpg, A woman is pointing while others are taking pictures .
2655183854.jpg, Woman pointing while others take pictures of something
2655183854.jpg, They are sitting on the edge of a fountain
2657097653.jpg, A man gives the camera the finger as a band plays a house party .
2657097653.jpg, Men dancing and flipping of the camera listening to music .
2657097653.jpg, A man in a striped shirt is dancing in front of a band .
2657097653.jpg, A rock band playing for a small audience in a house .
2657097653.jpg, A band is playing music with rowdy and crude fans .
2657844508.jpg, A man and woman are sitting at a table in front of a sign that reads IL PORTO and two wine bottles and two wineglasses are on the table .
2657844508.jpg," Two people sit at a table with wine in front of them , and a sign with a fish reading : "" IL PORTO "" behind them ."
2657844508.jpg," An elderly couple are sitting outside a restaurant , enjoying wine ."
2657844508.jpg, A couple is sitting at a restaurant in front of a big fish sign .
2657844508.jpg, Couple sitting on patio outside restaurant having some wine .
2657899248.jpg, A man in a yellow shirt and a man in a pink shirt crouch down in the middle of a crowded street .
2657899248.jpg, A man in a red shirt and a man in a yellow shirt are crouching in a crowd of people .
2657899248.jpg, Individuals in a crowded pedestrian area enjoy watching activities .
2657899248.jpg, The teenagers in a crowded area playing with toys .
2657899248.jpg, people staring at something in large crowd
2660008870.jpg, A redheaded boy has just come up from under the water in a pool .
2660008870.jpg, A child is splashed by water in an indoor swimming pool .
2660008870.jpg, A boy is making a splash in a swimming pool .
2660008870.jpg, A little boy is jumping out of the pool .
2660008870.jpg, A young boy playing in a swimming pool .
2661294481.jpg, a protest march is crossing the intersection of two streets near to a building with red awnings .
2661294481.jpg, a group of people holding signs and marching through the streets .
2661294481.jpg, A group of people with signs and banners walking down the street
2661294481.jpg, A crowd begins to march in a small downtown setting .
2661294481.jpg, Many people hold signs and march down the street .
2661489896.jpg, A child in white shorts and a blue shirt is standing in the street .
2661489896.jpg, Small boy is eating a lollipop and dancing in the street .
2661489896.jpg," A boy in shorts stands , arms outstreched , on a roadway ."
2661489896.jpg, a young boy wearing a hat dancing in the street
2661489896.jpg, A child cavorts on the road .
2662262499.jpg," This baseball player , dressed in red and white uniform and holding a bat , is falling after being hit by a pitch ."
2662262499.jpg, A boy at bat playing a baseball game falls to the ground while onlookers watch .
2662262499.jpg, A child in a uniform is falling to the ground with a bat in his or her hand .
2662262499.jpg, A baseball hitter holding a bat falling down .
2662262499.jpg, A baseball player runs on the field .
2662845514.jpg, The man breaking the ice with his foot stands on a blue mat .
2662845514.jpg, A man doing a karate kick on a block of ice .
2662845514.jpg, A man karate kicks a stack of ice bricks .
2662845514.jpg, A martial artist breaks ice with a kick .
2662845514.jpg, A martial artist breaks a brick .
2664820158.jpg," A man holding his foot out to the camera , while sitting on a red couch next to a sleeping woman ."
2664820158.jpg, A man with long hair puts his feet up to the camera as two ladies sleep beside him .
2664820158.jpg, A guy shows his foot to the camera as others in the background sleep .
2664820158.jpg, Three people sitting and one is lifting his leg .
2664820158.jpg, A man with long hair is sitting on the couch .
2664901838.jpg, A man with a blue backpack walks by a street in a location with mountains in the background .
2664901838.jpg, A man with a backpack walking down a small road .
2664901838.jpg, A man with a backpack is walking down a road .
2664901838.jpg, A man with a backpack walking down a road .
2664901838.jpg, A man is walking down a pavement path .
2664994682.jpg, Shoppers walk down the street of what looks like a shopping district with some brightly colored buildings .
2664994682.jpg, People on a sidewalk looking into shop windows while other people just keep walking .
2664994682.jpg, Several people are window shopping from the sidewalk .
2664994682.jpg, An old street with some people window-shopping .
2664994682.jpg, People on a city street window shopping .
266547962.jpg, A cowboy tries to adapt with society 's desperate infantile need for technology .
266547962.jpg, Three men and one woman sit at a table outdoors having drinks .
266547962.jpg, A group of friends are deciding what they should eat today .
266547962.jpg, Friends gather around a white computer .
266547962.jpg, A group of people sitting outdoors .
2665806290.jpg, A woman holding a small baby is standing in the shadows of a large statue of a religious figure .
2665806290.jpg, A woman with a child stands in front of a statue .
2665806290.jpg, A woman is standing with a baby next to a statue .
2665806290.jpg, women in black dress holding baby below a statue
2665806290.jpg, A woman holding her baby in front of a statue .
2666234771.jpg, A man wearing black pants and a white long-sleeved shirt appears to be dancing in the middle of a street .
2666234771.jpg, A man dances with flags in the street in front of a group of onlookers .
2666234771.jpg, A man in old costume leaps across an English street besides a Peugeot .
2666234771.jpg, A man jumping in the middle of the street with flags attached to him .
2666234771.jpg, Man performing a dance in the street .
2667080272.jpg," A smiling man with black hair , is wearing a light orange shirt and tie , and sunglasses is eating a meal , drinking a Corona Extra , and giving the "" hang loose "" sign with one of his hands ."
2667080272.jpg," A man in a yellow tie and shirt is making the "" hook 'em horns "" sign ."
2667080272.jpg, A man sitting outdoors having a beer and holding two fingers up .
2667080272.jpg, A man in sunglasses drinking a corona and flashing a gang sign .
2667080272.jpg, A man in sunglasses is wearing a yellow shirt .
2667091290.jpg, A woman in a blue dress holding orange flowers at a dinner with a blond man in the front .
2667091290.jpg, A man in a tuxedo stands next to a woman holding flowers at an event .
2667091290.jpg," Two people are standing , man in a tuxedo and women in a blue gown ."
2667091290.jpg, A woman and man are standing together .
2667091290.jpg, A couple is getting married .
2667947118.jpg, Young boy with a hat and brown shirt holding a hand just above a wooden box .
2667947118.jpg, A young boy leaning about construction from other men .
2667947118.jpg, A boy with a red hat is about to touch a wooden box .
2667947118.jpg, A small boy in a hat grabs for a wooden box .
2667947118.jpg, A child in a wool cap looks at a box .
26690039.jpg, A boy smiles up at the camera while sitting inside a large cardboard box .
26690039.jpg, Young blond child in gray shirt playing in a cardboard box .
26690039.jpg, A red-haired box is sitting in a large cardboard box .
26690039.jpg, A blond boy crouches in a cardboard box .
26690039.jpg, a blond child inside of a box smiling
2669048370.jpg, A girl in a blue shirt and glasses plays the clarinet in front of a microphone .
2669048370.jpg, A woman in a blue shirt playing a wind instrument .
2669048370.jpg, A woman in a blue shirt is playing an instrument .
2669048370.jpg, A young girl playing clarinet in a musical group .
2669048370.jpg, girl in blue shirt playing the clarinet
2671560649.jpg, A person sitting on a ledge using a machine to look out over the city .
2671560649.jpg, A blond child who is wearing red shoes looking through a telescope .
2671560649.jpg, Boy with red shoes looks through a viewer to see farther .
2671560649.jpg, A boy sitting on and looking out from a microscope .
2671560649.jpg, A boy looks over the city .
26720379.jpg," This is the image of a young child with his head slanted back , and is sleeping in a green stroller with white plastic bags hanging from the back ."
26720379.jpg, a blond child is sleeping in a stroller .
26720379.jpg, A child is asleep in a green stroller .
26720379.jpg, A young boy asleep in a stroller .
26720379.jpg, A young boy asleep in a stroller .
267223366.jpg, A crates of fish in the middle of a group of people .
267223366.jpg, A group of people with several boxes of fish .
267223366.jpg, Several people gathered around a fish market .
267223366.jpg, A lot of people around a few crates of fish .
267223366.jpg, A group of people near a fishing port .
2672634212.jpg, A woman in a pink shirt walking with a man walking in the other direction in the background .
2672634212.jpg, A girl wearing a pink tank top and gray pants standing .
2672634212.jpg, This woman is taking a break after a long walk or jog .
2672634212.jpg, A woman in a pink shirt stares down a path .
2672634212.jpg, A woman in a pink tank top outside .
2674784195.jpg, Two boys are laying in the ocean close to the beach .
2674784195.jpg, Two children are playing in deep muddy water .
2674784195.jpg, Two children are rolling in muddy water .
2674784195.jpg, two boys playing in dirty water
2674784195.jpg, Two muddy boys swim .
2675365025.jpg, A man with a blue shirt and white shorts prepares a charcoal barbecue while two other men look on .
2675365025.jpg, Three older people are sitting around a barbecue grill .
2675365025.jpg, A group of elderly men are lighting a cooking grill .
2675365025.jpg, Elder men are getting ready to barbecue .
2675365025.jpg, Senior citizens are barbecuing .
2675685200.jpg, a young boy making a big mess on the floor and table while eating cereal
2675685200.jpg, A young boy sits at a table and eats as food is spilled all around .
2675685200.jpg, The boy in blue and white pajamas is sitting at the table eating .
2675685200.jpg, A young boy in pajamas eats out of a red bowl at a wood table .
2675685200.jpg, A boy eating at a table .
267821422.jpg, An old woman in brown carrying a bag is holding hands with a child in a pink shirt as they walk on the grass in front of a brick building .
267821422.jpg, An adult walking a small child on green grass towards the front of an old brownstone building
267821422.jpg, A small child walks hand-in-hand with an adult on the grass leading up to a brick building .
267821422.jpg, An older person and a young child walking together in front of a large building .
267821422.jpg, Grandmother and grandchild walking home hand in hand on the green grass .
2678668581.jpg, People gather under a white tent while some sit at tables .
2678668581.jpg, People sitting at tables at some sort of festival .
2678668581.jpg, The people are sitting and mingling near the tent .
2678668581.jpg, Many people are sitting around a tent outside .
2678668581.jpg, People are gathered in a park .
2678747865.jpg, A man is peddling a bike attached to a pole with a harness around his neck suspended in air .
2678747865.jpg, A man is about to embark on a dangerous stunt involving a bicycle and bungee cords .
2678747865.jpg, A man is on a bicycle lifted off of the ground attached to a pole .
2678747865.jpg, A man sits on a bike attached to a column in the air .
2678747865.jpg, A man sits on a bicycle harnessed to a metal pole .
2678778191.jpg," A young man wearing a bandanna on his head stands leaning on a short brick wall , with flowers behind him ."
2678778191.jpg, A young man in odd clothes leaning against a brick wall with a garden in it .
2678778191.jpg, A man in a white tank top is leaning against a brick fence .
2678778191.jpg, A man is taking a break after digging a hole .
2678778191.jpg, a man leaning against a brick wall outside .
2679381280.jpg, A cello player wearing flip-flops and a blue shirt playing the instrument .
2679381280.jpg, A boy in a blue shirt plays the cello while a girl plays a drum .
2679381280.jpg, A young man is playing the electric cello in front of a woman .
2679381280.jpg, A young man in a blue shirt plays a wooden bass .
2679381280.jpg, Two children playing musical instruments .
2679851489.jpg," Two dogs , one coming toward the camera while one walks in the background ."
2679851489.jpg, A black dog runs on the grass near to a brown and white dog .
2679851489.jpg, a black dog runs through the dry grass .
2679851489.jpg, A black dog running towards a camera .
2679851489.jpg, A black dog runs along the grass .
268044066.jpg," A young man and young woman wearing backpacks are placing or removing an item from an old white tree snag , with other people standing or sitting in the background ."
268044066.jpg, A man and woman wearing backpacks are standing near a tall tree stump with a stone wall in the background .
268044066.jpg, A woman watches as a man in a white shirt and pants ties something around a wooden stump .
268044066.jpg, A man touches a tall tree stump while a woman watches .
268044066.jpg, A couple of hikers taking a break to take a picture .
268223986.jpg, A family sits by a handbag shop at a crowded plaza as the two girls consult a magazine .
268223986.jpg," Two men , two children , and a woman all sitting down near a stand filled with purses ."
268223986.jpg, A family is sitting down in a market with a baby stroller and shopping bags .
268223986.jpg, Some people are taking a break from shopping .
268223986.jpg, A family rests next to a purse kiosk .
2682546912.jpg," Three men , two in black business suits and one in a black dress shirt are reviewing notes for a presentation ."
2682546912.jpg, Three men dressed in all black suits are reading from some notes .
2682546912.jpg, Three men in black suits looking at something in front of them .
2682546912.jpg, The three men in black are standing in a row .
2682546912.jpg, 3 men wearing black attire are reading .
2684322797.jpg, A person wearing a white tank top sits at a table with a beer .
2684322797.jpg, A large person in shorts and a white shirt sitting at a table .
2684322797.jpg, A person sits at a table outside drinking beer .
2684322797.jpg," A fat guy in pink , drinking beer ."
2684322797.jpg, An overweight person drinking .
2684489465.jpg, the white dog is leaping over a red and green fence on an obstacle course .
2684489465.jpg, A small white dog is jumping over a green and red obstacle bar .
2684489465.jpg, A white dog runs through an obstacle course .
2684489465.jpg, The white dog is jumping over hurdles .
2684489465.jpg, a small dog jumps over a jump .
2684878115.jpg, A man wearing a long blue robe and black pants crouches beside two travel bags to play a black and gold studded stringed instrument on a cobblestone sidewalk .
2684878115.jpg, Older man playing an odd guitar like instrument in what appears to be a park or open area .
2684878115.jpg, A man with a long mustache is playing an instrument outdoors .
2684878115.jpg, A man sitting in a park is playing a musical instrument .
2684878115.jpg, A man in blue plays a stringed instrument .
2687563925.jpg, A man in black shirt with glasses raises his right hand while he is in the middle of the crowd .
2687563925.jpg, A group of people are gathered together near a screen with a colorful picture .
2687563925.jpg, A crowd is staring at a screen that is showing a colorful image .
2687563925.jpg, A group of people looking at a multicolored picture on a screen .
2687563925.jpg, A crowd of people look up at a colorful display .
2689163361.jpg, A little girl in a pink shirt and a jean skirt is playing with a ribbon wand outside .
2689163361.jpg, a girl wearing a bright pink top is spinning a colorful ribbon around her body .
2689163361.jpg, The girl in the pink shirt is twirling a ribbon .
2689163361.jpg," The girl is twirling long , colorful streamers ."
2689163361.jpg, Young girl playing with streamers .
2689869659.jpg, A group of people sitting down and walking around a large rock park .
2689869659.jpg, A large group of people explore around a rock structure .
2689869659.jpg, People climbing and walking on a large rock formation .
2689869659.jpg, People sitting and climbing on large rock formations .
2689869659.jpg, Children playing on rocks while adults watch .
2690702549.jpg, Four boys stand together with their arms bended to show their strength .
2690702549.jpg, Four boys mug for the camera in front of a brick wall .
2690702549.jpg, Four boys posing for a picture with pumped fists
2690702549.jpg, Four young boys flexing for the camera .
2690702549.jpg, Four boys pose for the camera .
2691147709.jpg," A rodeo cowboy , wearing a cowboy hat , is being thrown off of a wild white horse ."
2691147709.jpg, A horse bucks its rider in an arena as onlookers watch from bleachers .
2691147709.jpg, A cowboy riding bareback on a white stallion in mid buck at a rodeo .
2691147709.jpg, A man at a rodeo is being knocked of a horse who is rearing up .
2691147709.jpg, Cowboy riding a white horse .
2691271455.jpg, A man is writing something and standing with a group of young people outside .
2691271455.jpg, An Indian man stands among a group of Indian people writing on a clipboard .
2691271455.jpg, An Indian man is writing on something in a crowd of women and children .
2691271455.jpg, A popular Asian figure signs autographs for children .
2691271455.jpg, The woman in the blue saree is laughing .
2693539377.jpg, The children are smiling whist sitting on a fairground ride .
2693539377.jpg, two little kids having fun at a roller coaster
2693539377.jpg, Two children swing around on a carnival ride .
2693539377.jpg, Children on a ride at an amusement park .
2693539377.jpg, a boy and girl riding a roller coaster
269361490.jpg, A group of hip young people walk down the street in a residential neighborhood .
269361490.jpg, four goth looking people walking down a street with trees in the background
269361490.jpg, Four teenagers in Gothic clothes are walking in a neighborhood .
269361490.jpg, Four people dressed in black clothing stand together outside .
269361490.jpg, Two girls and two guys walking down the street .
2695004728.jpg, A blond woman in pigtails walks down the sidewalk barefoot with a green tube on her back .
2695004728.jpg, A lady in a gray shirt is walking on a busy street with a child in a red shirt .
2695004728.jpg, Several people walking down the sidewalk of a tropical city .
2695004728.jpg, A large crowd of people walking on a sidewalk .
2695004728.jpg, A group of people walking through the street .
2695085448.jpg, A woman in a black dress crouching in front of a brick wall talking on a cellphone .
2695085448.jpg, A woman in all black crouches against a wall while making a phone call .
2695085448.jpg," The woman crouches against a brick wall , speaking on her cellphone ."
2695085448.jpg, Woman talking on pink cellphone in front of a brick wall .
2695085448.jpg, A woman on the phone next to a brick wall .
2695955695.jpg," A person playing a drum with only their lower torso , hands , drumsticks , and drum showing in the foreground ."
2695955695.jpg, Someone wearing black is playing a drum with two sticks .
2695955695.jpg, Someone is wearing a black jacket and playing the drums .
2695955695.jpg, Closeup of person playing a marching band snare drum .
2695955695.jpg, A drum being played with two sticks
2695974995.jpg, A child in a red shirt and shorts stands next to a child in a purple shirt and shorts as they both look towards the front of the room .
2695974995.jpg, A group of children are playing a Wii video game .
2695974995.jpg, This is a group of children playing Wii .
2695974995.jpg, two children playing th Wii .
2695974995.jpg, Young boys playing the Wii .
2696129516.jpg, A girl with her hands in the air and three other children in the background .
2696129516.jpg, Little blond girl stepping on a blue surface outside .
2696129516.jpg, Several young children on an inflatable device .
2696129516.jpg, Young barefoot girl begins to lose balance .
2696129516.jpg, A young girl jumping on a blue mat .
2696200521.jpg, Four people are walking along a trail in the desert .
2696200521.jpg, Four people walking across brown mountains .
2696200521.jpg, A family explores a rocky desert area .
2696200521.jpg, 4 people walking through the desert .
2696200521.jpg, This is a grassy and rocky place .
2698197294.jpg, A black and white dog is running through shallow water .
2698197294.jpg, The black and white dog is running through the water .
2698197294.jpg, This dog is running through water on a beach .
2698197294.jpg, A black and white dog runs through the water .
2698197294.jpg, Black and white dog running through water .
2699075714.jpg, A man makes a facial expression while holding a baby against his chest .
2699075714.jpg, A man in a red ball cap holding a crying infant with yellow booties
2699075714.jpg, A man in a red hat is holding a baby wearing yellow socks .
2699075714.jpg, A man is smiling while holding a crying infant .
2699075714.jpg, A man is holding a crying baby .
269986132.jpg, A soccer game between the red team and the blue team .
269986132.jpg, two teams of soccer players playing a game on a field
269986132.jpg, Soccer game with teams in red and blue .
269986132.jpg, A group of soccer players after a ball .
269986132.jpg, A soccer game is in progress .
2699983419.jpg, A man in a white shirt slides through the sand towards a man in a blue uniform and hat holding a sporting glove out towards him .
2699983419.jpg," There are two men playing baseball , one man in a white shirt is sliding and the other man in a blue shirt is trying to tag him ."
2699983419.jpg, A catcher tries to strike a runner out as he slides into base during a baseball game .
2699983419.jpg, A man in a white shirt slides home during a baseball game .
2699983419.jpg, A man in a white shirt is sliding onto base .
2700788458.jpg, A man wearing a white shirt and red hate interacts with a woman wearing a white shirt .
2700788458.jpg, A white women and a black man in a red hat play fighting .
2700788458.jpg, A man and women in white shirts make sporadic movements .
2700788458.jpg, A man and a woman wearing white shirts in a wooded area .
2700788458.jpg, Woman trying to punch man .
2702678131.jpg, A man with no shirt and a woman in a bikini in the water looking away from the camera .
2702678131.jpg, A man and a woman in bathing suits hold each other in a body of water .
2702678131.jpg, Male and female holding each other in the water with their swimwear .
2702678131.jpg, Man and bikini wearing woman hugging in the water .
2702678131.jpg, A lady and man standing in the water .
2705103851.jpg," Teenagers making conversation , spending quality time , and playing with elder people ."
2705103851.jpg, A few young people are spending time with older people in a nursing home .
2705103851.jpg," Several individuals , some who are in wheelchairs , are socializing ."
2705103851.jpg, Teenagers are interacting with elderly people in a common room .
2705103851.jpg, An elderly man communicates with a man and a woman .
2705793985.jpg, A black and white dog in a blue harness running through a grassy field .
2705793985.jpg, A black and white dog with a blue collar walks through the grass .
2705793985.jpg, A black and white dog with a blue halter runs through the grass .
2705793985.jpg, A black dog with a blue collar runs through the green grass .
2705793985.jpg, A black and white dog runs through grass .
2705888144.jpg, A man in blue shorts jumps up to dunk a basketball while a crowd looks on .
2705888144.jpg, Young man in blue shorts about to perform a slam dunk .
2705888144.jpg, Guy making a basketball shot with onlookers watching .
2705888144.jpg, A man dunks a basketball in front of a crowd .
2705888144.jpg, Boy slam dunks a basketball .
2705922148.jpg, A man wearing a protective mask and a blue hat holds up a crowbar .
2705922148.jpg, A man holds a metal object while working in a basement .
2705922148.jpg, A man holding a crow bar and wearing a masks looks up .
2705922148.jpg, A male worker with a mask on his face .
2705922148.jpg, A man in a respiration mask working .
2705925058.jpg," Two boys , two girls , strapped in and ready for an amusement park ride ."
2705925058.jpg, Four people are strapped into some kind of amusement park ride .
2705925058.jpg, 4 people are strapped to an amusement park ride
2705925058.jpg, Two boys and two girls strapped into a ride .
2705925058.jpg, Girl smiling on roller coaster .
2706023395.jpg," A group of people sit on the ground , backs to a wall , outside a gated compound ."
2706023395.jpg, A few men sit outside of an area with an open gate eat their lunches .
2706023395.jpg, Three men are sitting near an orange building with blue trim .
2706023395.jpg, Three men sitting behind a building .
2706023395.jpg, Several men sit outside a building .
2706068775.jpg, A group of children gathered in front of a carnival game booth with stuffed animals hanging overhead .
2706068775.jpg, Two girls and six boys are standing by the carnival stand with stuffed animals hanging from above .
2706068775.jpg, multiple children hanging out in front of a carnival game .
2706068775.jpg, Several kids are looking at carnival games .
2706068775.jpg, Youngsters at a carnival .
2706766641.jpg, A little boy is in the corner covered in a white powder that is all over him and the floor .
2706766641.jpg, A little boy with a mess all over his face and feet stands next to a door .
2706766641.jpg, A young boy is caught making a mess of his room .
2706766641.jpg, A child and floor covered in white powder .
2706766641.jpg, A young child covered with white powder .
270724499.jpg, a small tan dog running on the grass with a ball in his mouth
270724499.jpg, small dog running in the grass with a toy in its mouth
270724499.jpg, Dog running towards camera with a ball in its mouth .
270724499.jpg, A dog with a blue ball running in a field .
270724499.jpg, The dog is running with a colorful ball .
270809922.jpg, A person walking up a snow covered mountain on a bright day .
270809922.jpg, a lone man climbing high on a snowy mountain .
270809922.jpg, A man standing on a mountainside in snow .
270809922.jpg, A man is standing on top of a glacier .
270809922.jpg, A mountain climber posing in the snow .
2708634088.jpg, Two large black and brown dogs run through the tall grass .
2708634088.jpg, Two dogs are running side by side through long grass .
2708634088.jpg, two brown dogs one with a stick in its mouth
2708634088.jpg, Two tall black dogs run through tall grass .
2708634088.jpg, Two large dogs bound through a field .
2708686056.jpg, A girl in a blue swimsuit walks into the ocean .
2708686056.jpg, woman in blue bathing suit going into the water
2708686056.jpg, Girl is wading through the gray ocean .
2708686056.jpg, A woman walking into the waves .
2708686056.jpg, A woman running into surf .
2708784867.jpg," The cowboy has to lean back and hold on as hard as possible , clinching his teeth at the prospect of getting bucked off ."
2708784867.jpg, A man in a cowboy hat leans backwards on the back of a rearing horse .
2708784867.jpg, One man in an arena trying to stay on a horse for as long as he can .
2708784867.jpg, A man wearing a cowboy hat rides on a bucking brown horse .
2708784867.jpg, A man rides a bucking horse in a rodeo .
2709695869.jpg, A man in a green shirt is getting his feet wet in front of a wall showing a closeup picture of a face .
2709695869.jpg, People are playing in sprinklers in front of a monument with a person 's face on it .
2709695869.jpg, Barefoot people standing in water in front of a large piece of art featuring a face .
2709695869.jpg, A man and woman and a small boy are playing in an outdoor water feature .
2709695869.jpg, A family walks on a wet sidewalk with bare feet .
2710563762.jpg, A girl basketball player wearing blue is blocking another girl player wearing yellow .
2710563762.jpg, A group of people gather on a basketball court as one person jumps for the ball .
2710563762.jpg, two teams of players playing basketball on a court outside .
2710563762.jpg, Basketball players jumping up for the ball during a game .
2710563762.jpg, Girls are playing basketball .
2710698257.jpg, A man sands with his arms out on a rocky ledge in front of the ocean .
2710698257.jpg, A man is standing on top of rocks overlooking the ocean .
2710698257.jpg, Man standing on top of jagged rocks near the ocean .
2710698257.jpg, Man standing on the edge of rocks near an ocean .
2710698257.jpg, A man stands atop a rocky cliff over the water .
2711075591.jpg, Two people are scuba diving in blue water with lots of bubbles .
2711075591.jpg, Two people are scuba diving in the blue ocean .
2711075591.jpg, Two individuals underwater scuba diving .
2711075591.jpg, Two scuba divers are diving underwater .
2711075591.jpg, Three people scuba dive under the sea .
2711230445.jpg, People are at a pool party where a woman is throwing a bucket of water .
2711230445.jpg, Girl splashing water on young pool participants .
2711230445.jpg, The woman is splashing water out of a bucket .
2711230445.jpg, A woman is tossing a bucket of water .
2711230445.jpg, A family playing in the pool .
2712352554.jpg, A boy does a skateboard trick off a metal plank .
2712352554.jpg, A young man jumps in the air on a skateboard .
2712352554.jpg, a guy with no shirt on is skateboarding .
2712352554.jpg, Skater does a trick on a rail .
2712352554.jpg, Skateboarder on a rail .
2712974062.jpg, A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand .
2712974062.jpg," The woman is holding a mug , and has sunglasses on the top of her head ."
2712974062.jpg, An Asian girl wearing a very colorful dress is carrying a plastic cup .
2712974062.jpg, A young woman wearing a dress makes an awkward hand sign .
2712974062.jpg, An asian woman drinking from a plastic mug .
2715289538.jpg, A boy is trying to blow a huge bubble using a giant metal ring .
2715289538.jpg, Young man in blue shirt peering through a large bubble .
2715289538.jpg, The boy wearing a blue shirt is blowing a huge bubble .
2715289538.jpg, a red-haired boy wearing glasses blowing a huge bubble
2715289538.jpg, A man blowing a large bubble .
2715498311.jpg, A boy in a black shirt riding his bike with a baby as a little girl stands in the background with her bike .
2715498311.jpg," Young man with a black shirt on , riding a blue bike with a baby sitting in front of him ."
2715498311.jpg, A young man tries to balance a toddler on the front of his purple bike .
2715498311.jpg, A man rides a purple bike with a small child .
2715498311.jpg, A man biking with a baby .
2716267794.jpg, Two kids practicing karate while wearing white clothing with a group of kids surrounding them .
2716267794.jpg, Two kids within a circle stand opposed to each other in fighting stances .
2716267794.jpg, Two children spar with each other while doing some form of martial art .
2716267794.jpg, A group surrounds to students as the practice martial arts .
2716267794.jpg, Two children fight in a square while people look on .
2716310886.jpg, A woman and four children stand side by side against a wall .
2716310886.jpg, Several children standing in front of a building .
2716310886.jpg, A group of children are standing against a wall .
